crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
batrovci-bajakovo,2026-06-16T22:38,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T22:08,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T21:49,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T21:28,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T20:38,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T20:08,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T19:49,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T19:28,30,30 min,hak_croatia,2026-06-16T20:59:42+00:00
batrovci-bajakovo,2026-06-16T23:28,30,30 min,hak_croatia,2026-06-16T21:45:34+00:00
batrovci-bajakovo,2026-06-16T23:49,30,30 min,hak_croatia,2026-06-16T21:49:34+00:00
batrovci-bajakovo,2026-06-17T00:08,10,10 min,hak_croatia,2026-06-16T22:08:00+00:00
batrovci-bajakovo,2026-06-17T00:38,10,10 min,hak_croatia,2026-06-16T23:00:30+00:00
batrovci-bajakovo,2026-06-17T02:49,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
batrovci-bajakovo,2026-06-17T02:38,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
batrovci-bajakovo,2026-06-17T02:28,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
batrovci-bajakovo,2026-06-17T02:08,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
batrovci-bajakovo,2026-06-17T01:49,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
batrovci-bajakovo,2026-06-17T01:28,30,30 min,hak_croatia,2026-06-17T01:40:44+00:00
batrovci-bajakovo,2026-06-17T06:38,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
batrovci-bajakovo,2026-06-17T05:49,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
batrovci-bajakovo,2026-06-17T05:28,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
batrovci-bajakovo,2026-06-17T04:38,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
batrovci-bajakovo,2026-06-17T04:08,30,30 min,hak_croatia,2026-06-17T05:27:43+00:00
batrovci-bajakovo,2026-06-17T03:58,25,25 min,anonymous_,2026-06-17T05:27:43+00:00
batrovci-bajakovo,2026-06-17T08:08,30,30 min,hak_croatia,2026-06-17T06:13:33+00:00
batrovci-bajakovo,2026-06-17T07:49,30,30 min,hak_croatia,2026-06-17T06:13:33+00:00
batrovci-bajakovo,2026-06-17T07:28,30,30 min,hak_croatia,2026-06-17T06:13:33+00:00
batrovci-bajakovo,2026-06-17T08:38,30,30 min,hak_croatia,2026-06-17T06:43:46+00:00
batrovci-bajakovo,2026-06-17T09:28,30,30 min,hak_croatia,2026-06-17T07:29:05+00:00
batrovci-bajakovo,2026-06-17T09:49,30,30 min,hak_croatia,2026-06-17T07:59:17+00:00
batrovci-bajakovo,2026-06-17T10:08,30,30 min,hak_croatia,2026-06-17T08:14:24+00:00
batrovci-bajakovo,2026-06-17T10:38,30,30 min,hak_croatia,2026-06-17T08:44:37+00:00
batrovci-bajakovo,2026-06-17T11:28,30,30 min,hak_croatia,2026-06-17T09:29:57+00:00
batrovci-bajakovo,2026-06-17T11:49,30,30 min,hak_croatia,2026-06-17T10:00:11+00:00
batrovci-bajakovo,2026-06-17T12:08,30,30 min,hak_croatia,2026-06-17T10:15:23+00:00
batrovci-bajakovo,2026-06-17T12:38,30,30 min,hak_croatia,2026-06-17T10:48:17+00:00
batrovci-bajakovo,2026-06-17T13:28,30,30 min,hak_croatia,2026-06-17T11:33:35+00:00
batrovci-bajakovo,2026-06-17T13:49,30,30 min,hak_croatia,2026-06-17T12:03:46+00:00
batrovci-bajakovo,2026-06-17T14:08,30,30 min,hak_croatia,2026-06-17T12:18:53+00:00
batrovci-bajakovo,2026-06-17T14:38,30,30 min,hak_croatia,2026-06-17T12:49:06+00:00
batrovci-bajakovo,2026-06-17T15:28,30,30 min,hak_croatia,2026-06-17T13:34:23+00:00
batrovci-bajakovo,2026-06-17T15:49,30,30 min,hak_croatia,2026-06-17T13:49:29+00:00
batrovci-bajakovo,2026-03-19T00:08,59,59 min,user19,2026-03-18T23:08:04+00:00
batrovci-bajakovo,2026-03-19T00:38,59,59 min,user19,2026-03-18T23:38:03+00:00
batrovci-bajakovo,2026-03-19T01:28,63,63 min,user19,2026-03-19T00:28:02+00:00
batrovci-bajakovo,2026-03-19T01:49,63,63 min,user19,2026-03-19T00:49:04+00:00
batrovci-bajakovo,2026-03-19T02:08,63,63 min,user19,2026-03-19T01:08:04+00:00
batrovci-bajakovo,2026-03-19T02:28,63,63 min,user19,2026-03-19T01:28:03+00:00
batrovci-bajakovo,2026-03-19T02:38,63,63 min,user19,2026-03-19T01:38:03+00:00
batrovci-bajakovo,2026-03-19T02:49,63,63 min,user19,2026-03-19T01:49:03+00:00
batrovci-bajakovo,2026-03-19T03:57,62,62 min,user147,2026-03-19T03:00:08+00:00
batrovci-bajakovo,2026-03-19T04:08,63,63 min,user19,2026-03-19T03:08:03+00:00
batrovci-bajakovo,2026-03-19T04:38,63,63 min,user19,2026-03-19T03:38:03+00:00
batrovci-bajakovo,2026-03-19T05:49,59,59 min,user19,2026-03-19T04:49:03+00:00
