crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bogorodica-evzoni,2026-06-16T22:23,10,10 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T21:23,5,5 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T20:29,10,10 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T19:23,5,5 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T18:29,10,10 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T17:25,15,15 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T16:29,5,5 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T15:25,10,10 min,anonymous_,2026-06-16T20:59:42+00:00
bogorodica-evzoni,2026-06-16T23:29,5,5 min,anonymous_,2026-06-16T21:45:34+00:00
bogorodica-evzoni,2026-06-17T00:26,10,10 min,anonymous_,2026-06-16T22:30:21+00:00
bogorodica-evzoni,2026-06-17T03:29,10,10 min,anonymous_,2026-06-17T01:40:44+00:00
bogorodica-evzoni,2026-06-17T02:27,15,15 min,anonymous_,2026-06-17T01:40:44+00:00
bogorodica-evzoni,2026-06-17T01:27,5,5 min,anonymous_,2026-06-17T01:40:44+00:00
bogorodica-evzoni,2026-06-17T06:30,15,15 min,anonymous,2026-06-17T05:27:43+00:00
bogorodica-evzoni,2026-06-17T06:29,10,10 min,anonymous_,2026-06-17T05:27:43+00:00
bogorodica-evzoni,2026-06-17T05:25,15,15 min,anonymous_,2026-06-17T05:27:43+00:00
bogorodica-evzoni,2026-06-17T04:28,5,5 min,anonymous_,2026-06-17T05:27:43+00:00
bogorodica-evzoni,2026-06-17T07:26,10,10 min,anonymous_,2026-06-17T06:13:33+00:00
bogorodica-evzoni,2026-06-17T08:25,5,5 min,anonymous_,2026-06-17T06:43:46+00:00
bogorodica-evzoni,2026-06-17T08:44,10,10 min,anonymous,2026-06-17T06:58:52+00:00
bogorodica-evzoni,2026-06-17T09:58,5,5 min,anonymous_,2026-06-17T08:14:24+00:00
bogorodica-evzoni,2026-06-17T10:26,10,10 min,anonymous,2026-06-17T08:29:31+00:00
bogorodica-evzoni,2026-06-17T10:48,15,15 min,anonymous,2026-06-17T08:59:44+00:00
bogorodica-evzoni,2026-06-17T10:47,5,5 min,anonymous,2026-06-17T08:59:44+00:00
bogorodica-evzoni,2026-06-17T11:57,10,10 min,anonymous_,2026-06-17T10:00:11+00:00
bogorodica-evzoni,2026-06-17T12:59,5,5 min,anonymous_,2026-06-17T11:03:24+00:00
bogorodica-evzoni,2026-06-17T13:53,15,15 min,anonymous_,2026-06-17T12:03:46+00:00
bogorodica-evzoni,2026-06-17T14:05,10,10 min,anonymous,2026-06-17T12:18:53+00:00
bogorodica-evzoni,2026-06-17T15:27,5,5 min,anonymous_,2026-06-17T13:34:23+00:00
bogorodica-evzoni,2026-06-17T16:26,15,15 min,anonymous_,2026-06-17T14:42:45+00:00
bogorodica-evzoni,2026-06-17T17:25,10,10 min,anonymous_,2026-06-17T15:43:33+00:00
bogorodica-evzoni,2026-06-17T18:27,5,5 min,anonymous_,2026-06-17T16:43:59+00:00
bogorodica-evzoni,2026-06-17T19:28,15,15 min,anonymous_,2026-06-17T17:42:36+00:00
bogorodica-evzoni,2026-06-17T20:23,10,10 min,anonymous_,2026-06-17T18:43:02+00:00
bogorodica-evzoni,2026-06-17T21:23,5,5 min,anonymous_,2026-06-17T19:40:09+00:00
bogorodica-evzoni,2026-06-17T22:19,10,10 min,anonymous,2026-06-17T20:25:26+00:00
bogorodica-evzoni,2026-06-17T23:25,5,5 min,anonymous_,2026-06-17T21:40:53+00:00
bogorodica-evzoni,2026-06-18T00:25,10,10 min,anonymous_,2026-06-17T22:33:34+00:00
bogorodica-evzoni,2026-06-18T01:24,5,5 min,anonymous_,2026-06-17T23:42:25+00:00
bogorodica-evzoni,2026-06-18T02:23,10,10 min,anonymous_,2026-06-18T00:32:10+00:00
