crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
horgos-roszke,2026-08-05T20:53,60,60 min,anonymous,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T20:24,50,50 min,anonymous_,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T19:24,55,55 min,anonymous_,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T18:11,60,60 min,anonymous,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T18:01,10,10 min,anonymous,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T17:54,90,1.5 h,anonymous_,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T16:32,120,2 h,anonymous,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T16:23,10,10 min,anonymous,2026-08-05T19:14:52+00:00
horgos-roszke,2026-08-05T21:55,55,55 min,anonymous_,2026-08-05T20:14:54+00:00
horgos-roszke,2026-08-05T22:54,50,50 min,anonymous_,2026-08-05T21:00:45+00:00
horgos-roszke,2026-08-05T23:59,45,45 min,anonymous_,2026-08-05T22:07:26+00:00
horgos-roszke,2026-08-06T00:59,40,40 min,anonymous_,2026-08-05T23:03:30+00:00
horgos-roszke,2026-08-06T01:55,35,35 min,anonymous_,2026-08-06T00:03:54+00:00
horgos-roszke,2026-08-06T02:53,30,30 min,anonymous_,2026-08-06T01:00:00+00:00
horgos-roszke,2026-08-06T03:56,25,25 min,anonymous_,2026-08-06T02:01:02+00:00
horgos-roszke,2026-08-06T04:59,20,20 min,anonymous_,2026-08-06T03:01:48+00:00
horgos-roszke,2026-08-06T05:54,15,15 min,anonymous_,2026-08-06T04:02:37+00:00
horgos-roszke,2026-08-06T06:55,10,10 min,anonymous_,2026-08-06T05:09:47+00:00
