crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
roszke-horgos,2026-08-05T20:38,10,10 min,police,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T20:08,10,10 min,police,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T19:49,10,10 min,police,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T18:55,5,5 min,anonymous_,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T17:56,10,10 min,anonymous_,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T16:40,15,15 min,anonymous,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T16:27,25,25 min,anonymous_,2026-08-05T19:14:52+00:00
roszke-horgos,2026-08-05T22:08,10,10 min,police,2026-08-05T20:14:54+00:00
roszke-horgos,2026-08-05T21:54,5,5 min,anonymous_,2026-08-05T20:14:54+00:00
roszke-horgos,2026-08-05T22:22,50,50 min,anonymous,2026-08-05T20:30:05+00:00
roszke-horgos,2026-08-05T23:23,45,45 min,anonymous_,2026-08-05T21:37:05+00:00
roszke-horgos,2026-08-05T23:49,10,10 min,police,2026-08-05T21:52:16+00:00
roszke-horgos,2026-08-06T00:08,10,10 min,police,2026-08-05T22:22:36+00:00
roszke-horgos,2026-08-06T00:38,10,10 min,police,2026-08-05T22:48:20+00:00
roszke-horgos,2026-08-06T01:28,10,10 min,police,2026-08-05T23:33:24+00:00
roszke-horgos,2026-08-06T01:49,10,10 min,police,2026-08-06T00:03:54+00:00
roszke-horgos,2026-08-06T02:08,10,10 min,police,2026-08-06T00:19:04+00:00
roszke-horgos,2026-08-06T02:28,10,10 min,police,2026-08-06T00:34:14+00:00
roszke-horgos,2026-08-06T02:34,45,45 min,anonymous,2026-08-06T00:49:25+00:00
roszke-horgos,2026-08-06T03:57,40,40 min,anonymous_,2026-08-06T02:01:02+00:00
roszke-horgos,2026-08-06T04:55,35,35 min,anonymous_,2026-08-06T03:01:48+00:00
