crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
tompa-kelebija,2026-08-05T20:55,10,10 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T19:53,15,15 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T18:56,5,5 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T17:55,10,10 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T16:56,15,15 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T15:57,5,5 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T14:56,10,10 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T13:56,5,5 min,anonymous_,2026-08-05T19:14:52+00:00
tompa-kelebija,2026-08-05T21:53,5,5 min,anonymous_,2026-08-05T20:14:54+00:00
tompa-kelebija,2026-08-05T22:55,15,15 min,anonymous_,2026-08-05T21:00:45+00:00
tompa-kelebija,2026-08-05T23:53,10,10 min,anonymous_,2026-08-05T22:07:26+00:00
tompa-kelebija,2026-08-06T00:56,5,5 min,anonymous_,2026-08-05T23:03:30+00:00
tompa-kelebija,2026-08-06T01:56,10,10 min,anonymous_,2026-08-06T00:03:54+00:00
tompa-kelebija,2026-08-06T02:56,5,5 min,anonymous_,2026-08-06T01:00:00+00:00
tompa-kelebija,2026-08-06T03:53,15,15 min,anonymous_,2026-08-06T02:01:02+00:00
tompa-kelebija,2026-08-06T04:57,10,10 min,anonymous_,2026-08-06T03:01:48+00:00
tompa-kelebija,2026-08-06T05:54,5,5 min,anonymous_,2026-08-06T04:02:37+00:00
tompa-kelebija,2026-08-06T06:55,15,15 min,anonymous_,2026-08-06T05:09:47+00:00
tompa-kelebija,2026-08-06T07:57,10,10 min,anonymous_,2026-08-06T06:10:45+00:00
tompa-kelebija,2026-08-06T08:58,5,5 min,anonymous_,2026-08-06T07:11:33+00:00
tompa-kelebija,2026-08-06T09:56,10,10 min,anonymous_,2026-08-06T08:07:08+00:00
tompa-kelebija,2026-08-06T10:55,5,5 min,anonymous_,2026-08-06T09:07:51+00:00
tompa-kelebija,2026-08-06T11:56,15,15 min,anonymous_,2026-08-06T10:05:24+00:00
tompa-kelebija,2026-08-06T12:56,10,10 min,anonymous_,2026-08-06T11:06:06+00:00
tompa-kelebija,2026-08-06T13:57,5,5 min,anonymous_,2026-08-06T12:06:51+00:00
tompa-kelebija,2026-08-06T14:53,15,15 min,anonymous_,2026-08-06T13:01:22+00:00
tompa-kelebija,2026-08-06T15:53,10,10 min,anonymous_,2026-08-06T14:02:09+00:00
tompa-kelebija,2026-08-06T16:53,5,5 min,anonymous_,2026-08-06T15:10:43+00:00
tompa-kelebija,2026-08-06T17:54,10,10 min,anonymous_,2026-08-06T16:11:28+00:00
tompa-kelebija,2026-08-07T01:56,5,5 min,anonymous,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-07T00:57,20,20 min,anonymous_,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-06T23:57,25,25 min,anonymous,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-06T22:53,15,15 min,anonymous_,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-06T21:53,5,5 min,anonymous_,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-06T20:57,10,10 min,anonymous_,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-06T19:56,15,15 min,anonymous_,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-06T18:53,5,5 min,anonymous_,2026-08-07T00:19:19+00:00
tompa-kelebija,2026-08-07T02:57,15,15 min,anonymous_,2026-08-07T01:04:56+00:00
tompa-kelebija,2026-08-07T03:55,10,10 min,anonymous_,2026-08-07T02:05:42+00:00
tompa-kelebija,2026-08-07T04:56,5,5 min,anonymous_,2026-08-07T03:21:36+00:00
tompa-kelebija,2026-08-07T05:56,15,15 min,anonymous_,2026-08-07T04:07:11+00:00
tompa-kelebija,2026-08-07T06:56,10,10 min,anonymous_,2026-08-07T05:07:58+00:00
tompa-kelebija,2026-08-07T07:59,5,5 min,anonymous_,2026-08-07T06:11:26+00:00
tompa-kelebija,2026-08-07T08:54,10,10 min,anonymous_,2026-08-07T07:07:32+00:00
tompa-kelebija,2026-08-07T09:55,5,5 min,anonymous_,2026-08-07T08:12:43+00:00
tompa-kelebija,2026-08-07T10:54,15,15 min,anonymous_,2026-08-07T09:12:14+00:00
